Name,Year,Genre,Run_time,Rating,Meta_score,Director_cast,Votes,Vote_gross
The Man Who Shot Liberty Valance,(1962),"
Drama, Western            ",123 min,"

8.1
",94        ,"
    Director:
John Ford
| 
    Stars:
James Stewart, 
John Wayne, 
Vera Miles, 
Lee Marvin
","69,712","
Votes:
69,712
"
Ivanovo detstvo,(1962),"
Drama, War            ",95 min,"

8.1
",,"
    Directors:
Andrei Tarkovsky, 
Eduard Abalov
| 
    Stars:
Nikolay Burlyaev, 
Valentin Zubkov, 
Evgeniy Zharikov, 
Stepan Krylov
","32,441","
Votes:
32,441
"
Jungfrukällan,(1960),"
Drama            ",89 min,"

8.1
",,"
    Director:
Ingmar Bergman
| 
    Stars:
Max von Sydow, 
Birgitta Valberg, 
Gunnel Lindblom, 
Birgitta Pettersson
","27,055","
Votes:
27,055
| Gross:
$1.53M
"
Inherit the Wind,(1960),"
Biography, Drama, History            ",128 min,"

8.1
",75        ,"
    Director:
Stanley Kramer
| 
    Stars:
Spencer Tracy, 
Fredric March, 
Gene Kelly, 
Dick York
","27,671","
Votes:
27,671
"
Les quatre cents coups,(1959),"
Crime, Drama            ",99 min,"

8.1
",,"
    Director:
François Truffaut
| 
    Stars:
Jean-Pierre Léaud, 
Albert Rémy, 
Claire Maurier, 
Guy Decomble
","107,213","
Votes:
107,213
"
Ben-Hur,(1959),"
Adventure, Drama, History            ",212 min,"

8.1
",90        ,"
    Director:
William Wyler
| 
    Stars:
Charlton Heston, 
Jack Hawkins, 
Stephen Boyd, 
Haya Harareet
","222,050","
Votes:
222,050
| Gross:
$74.70M
"
Kakushi-toride no san-akunin,(1958),"
Adventure, Drama            ",139 min,"

8.1
",,"
    Director:
Akira Kurosawa
| 
    Stars:
Toshirô Mifune, 
Misa Uehara, 
Minoru Chiaki, 
Kamatari Fujiwara
","35,489","
Votes:
35,489
"
Le notti di Cabiria,(1957),"
Drama            ",110 min,"

8.1
",,"
    Director:
Federico Fellini
| 
    Stars:
Giulietta Masina, 
François Périer, 
Franca Marzi, 
Dorian Gray
","43,502","
Votes:
43,502
| Gross:
$0.75M
"
Kumonosu-jo,(1957),"
Drama, History            ",110 min,"

8.1
",,"
    Director:
Akira Kurosawa
| 
    Stars:
Toshirô Mifune, 
Minoru Chiaki, 
Isuzu Yamada, 
Takashi Shimura
","47,441","
Votes:
47,441
"
The Bridge on the River Kwai,(1957),"
Adventure, Drama, War            ",161 min,"

8.1
",87        ,"
    Director:
David Lean
| 
    Stars:
William Holden, 
Alec Guinness, 
Jack Hawkins, 
Sessue Hayakawa
","205,811","
Votes:
205,811
| Gross:
$44.91M
"
